[2026-03-23T07:38:42.006Z] GET http://localhost:8090/og-image.svg → 200 (4ms, 2243B)
[2026-03-23T07:42:22.825Z] GET http://localhost:8090/index.html?v=1774251742 → 200 (6ms, 48293B)
[2026-03-23T07:42:22.838Z] GET https://fonts.googleapis.com/css2?family=DM+Serif+Display:ital@0;1&family=JetBrains+Mono:wght@300;400;700&family=Noto+Sans+SC:wght@300;400;700;900&family=Noto+Serif+SC:wght@400;700;900&family=Syne:wght@400;700;800&display=swap → pending (?ms, ?B)
[2026-03-23T07:42:24.498Z] GET https://fonts.gstatic.com/s/syne/v24/8vIH7w4qzmVxm2BL9G78HEY.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.116.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbV2o-flEEny0FZhsfKu5WU4xD7OwGtT0rU.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7kqGWbhppHtk.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.112.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.118.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.119.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALRLoKI2w328g.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/dmserifdisplay/v17/-nFhOHM81r4j6k0gjAW3mujVU2B2G_VB0PD2xWr53A.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.117.woff2 → pending (?ms, ?B)
[2026-03-23T07:42:24.499Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.115.woff2 → pending (?ms, ?B)
